表,作業名,細　目,摘　要,単位,材　料,雑材料,"電工
［人］",その他,備考,注
表RE-2-9【設】,白熱灯器具,細目,摘要,単位,"白熱灯器具
［個］",雑材料,"電工
［人］",その他,備考,
表RE-2-9【設】,白熱灯器具,コードペンダント,,,1,,0.120,,,
表RE-2-9【設】,白熱灯器具,パイプペンダント,,,1,,0.144,,,
表RE-2-9【設】,白熱灯器具,チェンペンダント,,,1,"１式
(材料価格×0.05)",0.144,,,
表RE-2-9【設】,白熱灯器具,シーリングライト,,個,1,"１式
(材料価格×0.05)",0.153,１式,,
表RE-2-9【設】,白熱灯器具,埋込灯,,,1,"１式
(材料価格×0.05)",0.209,,,
表RE-2-9【設】,白熱灯器具,ブラケットライト,,,1,,0.130,,,
表RE-2-9【設】,白熱灯器具,レセプタクル,,,1,,0.087,,,
