表,作業名,名 称,摘 要,単位,所要量,備 考,注
表RA-2-1【市】,根切りつぼ掘り及び布掘り(バックホウ0.8ｍ3)	(1ｍ3当たり),バックホウ運転,0.8ｍ3,日,0.01,,
表RA-2-1【市】,根切りつぼ掘り及び布掘り(バックホウ0.8ｍ3)	(1ｍ3当たり),普通作業員,,人,0.015,,
表RA-2-1【市】,根切りつぼ掘り及び布掘り(バックホウ0.8ｍ3)	(1ｍ3当たり),その他,,式,1,,
