表,タックコート,タックコート.1,タックコート.2,タックコート.3,(Ｌ/100㎡),注
表RA-21-1【設】,名称,摘要,車道部,備,考,
表RA-21-1【設】,タックコート,ＰＫ-4,40.8,,,
