表,作業名,Unnamed: 2,Unnamed: 3,鉄筋加工,鉄筋加工.1,鉄 筋,Unnamed: 7,注
鉄筋加工組立(Ｓ造スラブ)(1t当たり),名称,摘要,単位,,,,備考,
鉄筋加工組立(Ｓ造スラブ)(1t当たり),,,,工場,現場,組立,,
鉄筋加工組立(Ｓ造スラブ)(1t当たり),鉄筋工,,人,0.48,0.59,1.49,,
鉄筋加工組立(Ｓ造スラブ)(1t当たり),普通作業員,,人,0.12,0.12,0.28,,
鉄筋加工組立(Ｓ造スラブ)(1t当たり),工場管理費,(労)×(30～60％),式,1,―,―,,
鉄筋加工組立(Ｓ造スラブ)(1t当たり),結束線,#21,㎏,―,―,6.0,,
鉄筋加工組立(Ｓ造スラブ)(1t当たり),その他,,式,1,1,1,,
