表,作業名,Unnamed: 2,名,称,摘 要,単位,"壁
ワイヤラス張り
(ひし形ラス)",壁リブラス張り,壁リブラス張り.1,"天井
メタルラス張り
(平ラス)",備 考,注
表RA-14-5【専】,下地ラス張り(1㎡当たり),,名,称,摘要,単位,"壁
ワイヤラス張り
(ひし形ラス)",木造下地,鉄骨下地,"天井
メタルラス張り
(平ラス)",備考,
表RA-14-5【専】,下地ラス張り(1㎡当たり),ラ,,ス,,㎡,1.1,1.1,1.1,1.1,,
表RA-14-5【専】,下地ラス張り(1㎡当たり),アスファルトフェルト,アスファルトフェルト,アスファルトフェルト,20kg品,㎡,1.1,─,─,─,,
表RA-14-5【専】,下地ラス張り(1㎡当たり),ス,テ,ープル,,kg,0.05,0.06,─,0.04,,
表RA-14-5【専】,下地ラス張り(1㎡当たり),鉄,,線,,kg,─,─,0.1,─,,
表RA-14-5【専】,下地ラス張り(1㎡当たり),力,,骨,径3.2㎜,kg,0.25,─,─,0.25,,
表RA-14-5【専】,下地ラス張り(1㎡当たり),特,殊,作業員,,人,0.04,0.025,0.05,0.05,,
表RA-14-5【専】,下地ラス張り(1㎡当たり),そ,,の他,,式,1,1,1,1,,
