表,作業名,名 称,摘 要,単位,所要量,備 考,注
表RA-2-8【設】【専】,根切り山留め付き総掘りグランドアンカー方式(バックホウ1.4ｍ3)	(1ｍ3当たり),バックホウ運転,1.4ｍ3,日,0.0039,,
表RA-2-8【設】【専】,根切り山留め付き総掘りグランドアンカー方式(バックホウ1.4ｍ3)	(1ｍ3当たり),普通作業員,,人,0.007,,
表RA-2-8【設】【専】,根切り山留め付き総掘りグランドアンカー方式(バックホウ1.4ｍ3)	(1ｍ3当たり),その他,,式,1,,
