表,積込機械,人力,人力.1,人力.2,人力.3,人力.4,人力.5,人力.6,人力.7,人力.8,人力.9,人力.10,人力.11,人力.12,人力.13,人力.14,注
別表RA-2-37-7ダンプトラック運搬日数(Ｄ)【専】(1台当たり),運搬機種,ダンプトラック2t積級,ダンプトラック2t積級,ダンプトラック2t積級,ダンプトラック2t積級,ダンプトラック2t積級,ダンプトラック2t積級,ダンプトラック2t積級,ダンプトラック2t積級,ダンプトラック2t積級,ダンプトラック2t積級,ダンプトラック2t積級,ダンプトラック2t積級,ダンプトラック2t積級,ダンプトラック2t積級,ダンプトラック2t積級,
別表RA-2-37-7ダンプトラック運搬日数(Ｄ)【専】(1台当たり),ＤＩＤ区間：無し,ＤＩＤ区間：無し,ＤＩＤ区間：無し,ＤＩＤ区間：無し,ＤＩＤ区間：無し,ＤＩＤ区間：無し,ＤＩＤ区間：無し,ＤＩＤ区間：無し,ＤＩＤ区間：無し,ＤＩＤ区間：無し,ＤＩＤ区間：無し,ＤＩＤ区間：無し,ＤＩＤ区間：無し,ＤＩＤ区間：無し,ＤＩＤ区間：無し,ＤＩＤ区間：無し,
別表RA-2-37-7ダンプトラック運搬日数(Ｄ)【専】(1台当たり),運搬距離,0.3,0.5,1.5,2.0,2.5,3.0,4.0,5.0,6.5,8.5,11.0,16.0,27.5,60.0,,
別表RA-2-37-7ダンプトラック運搬日数(Ｄ)【専】(1台当たり),(km),以下,以下,以下,以下,以下,以下,以下,以下,以下,以下,以下,以下,以下,以下,,
別表RA-2-37-7ダンプトラック運搬日数(Ｄ)【専】(1台当たり),運搬日数,0.053,0.059,0.067,0.077,0.091,0.100,0.111,0.125,0.143,0.167,0.200,0.250,0.333,0.500,,
別表RA-2-37-7ダンプトラック運搬日数(Ｄ)【専】(1台当たり),ＤＩＤ区間：有り,ＤＩＤ区間：有り,ＤＩＤ区間：有り,ＤＩＤ区間：有り,ＤＩＤ区間：有り,ＤＩＤ区間：有り,ＤＩＤ区間：有り,ＤＩＤ区間：有り,ＤＩＤ区間：有り,ＤＩＤ区間：有り,ＤＩＤ区間：有り,ＤＩＤ区間：有り,ＤＩＤ区間：有り,ＤＩＤ区間：有り,ＤＩＤ区間：有り,ＤＩＤ区間：有り,
別表RA-2-37-7ダンプトラック運搬日数(Ｄ)【専】(1台当たり),運搬距離,0.3,0.5,1.0,1.5,2.0,2.5,3.5,4.5,6.0,8.0,10.5,14.5,23.0,60.0,,
別表RA-2-37-7ダンプトラック運搬日数(Ｄ)【専】(1台当たり),(km),以下,以下,以下,以下,以下,以下,以下,以下,以下,以下,以下,以下,以下,以下,,
別表RA-2-37-7ダンプトラック運搬日数(Ｄ)【専】(1台当たり),運搬日数,0.053,0.059,0.067,0.077,0.091,0.100,0.111,0.125,0.143,0.167,0.200,0.250,0.333,0.500,,
