表,積込機械,バックホウ 排出ガス対策型 油圧式クローラ型0.28ｍ3,バックホウ 排出ガス対策型 油圧式クローラ型0.28ｍ3.1,バックホウ 排出ガス対策型 油圧式クローラ型0.28ｍ3.2,バックホウ 排出ガス対策型 油圧式クローラ型0.28ｍ3.3,バックホウ 排出ガス対策型 油圧式クローラ型0.28ｍ3.4,バックホウ 排出ガス対策型 油圧式クローラ型0.28ｍ3.5,バックホウ 排出ガス対策型 油圧式クローラ型0.28ｍ3.6,バックホウ 排出ガス対策型 油圧式クローラ型0.28ｍ3.7,バックホウ 排出ガス対策型 油圧式クローラ型0.28ｍ3.8,バックホウ 排出ガス対策型 油圧式クローラ型0.28ｍ3.9,バックホウ 排出ガス対策型 油圧式クローラ型0.28ｍ3.10,バックホウ 排出ガス対策型 油圧式クローラ型0.28ｍ3.11,バックホウ 排出ガス対策型 油圧式クローラ型0.28ｍ3.12,バックホウ 排出ガス対策型 油圧式クローラ型0.28ｍ3.13,バックホウ 排出ガス対策型 油圧式クローラ型0.28ｍ3.14,注
別表RA-2-37-5ダンプトラック運搬日数(Ｄ)【専】(1台当たり),運搬機種,ダンプトラック4t積級,ダンプトラック4t積級,ダンプトラック4t積級,ダンプトラック4t積級,ダンプトラック4t積級,ダンプトラック4t積級,ダンプトラック4t積級,ダンプトラック4t積級,ダンプトラック4t積級,ダンプトラック4t積級,ダンプトラック4t積級,ダンプトラック4t積級,ダンプトラック4t積級,ダンプトラック4t積級,ダンプトラック4t積級,
別表RA-2-37-5ダンプトラック運搬日数(Ｄ)【専】(1台当たり),ＤＩＤ区間：無し,ＤＩＤ区間：無し,ＤＩＤ区間：無し,ＤＩＤ区間：無し,ＤＩＤ区間：無し,ＤＩＤ区間：無し,ＤＩＤ区間：無し,ＤＩＤ区間：無し,ＤＩＤ区間：無し,ＤＩＤ区間：無し,ＤＩＤ区間：無し,ＤＩＤ区間：無し,ＤＩＤ区間：無し,ＤＩＤ区間：無し,ＤＩＤ区間：無し,ＤＩＤ区間：無し,
別表RA-2-37-5ダンプトラック運搬日数(Ｄ)【専】(1台当たり),"運搬距離
(km)","0.2
以下","1.0
以下","1.5
以下","2.5
以下","3.5
以下","4.0
以下","5.0
以下","6.0
以下","7.5
以下","10.0
以下","13.0
以下","19.0
以下","35.0
以下","60.0
以下",,
別表RA-2-37-5ダンプトラック運搬日数(Ｄ)【専】(1台当たり),運搬日数,0.040,0.050,0.063,0.077,0.083,0.100,0.111,0.125,0.143,0.167,0.200,0.250,0.333,0.500,,
別表RA-2-37-5ダンプトラック運搬日数(Ｄ)【専】(1台当たり),ＤＩＤ区間：有り,ＤＩＤ区間：有り,ＤＩＤ区間：有り,ＤＩＤ区間：有り,ＤＩＤ区間：有り,ＤＩＤ区間：有り,ＤＩＤ区間：有り,ＤＩＤ区間：有り,ＤＩＤ区間：有り,ＤＩＤ区間：有り,ＤＩＤ区間：有り,ＤＩＤ区間：有り,ＤＩＤ区間：有り,ＤＩＤ区間：有り,ＤＩＤ区間：有り,ＤＩＤ区間：有り,
別表RA-2-37-5ダンプトラック運搬日数(Ｄ)【専】(1台当たり),"運搬距離
(km)","0.2
以下","1.0
以下","1.5
以下","2.0
以下","3.0
以下","3.5
以下","4.5
以下","5.5
以下","7.0
以下","9.0
以下","12.0
以下","17.0
以下","27.0
以下","60.0
以下",,
別表RA-2-37-5ダンプトラック運搬日数(Ｄ)【専】(1台当たり),運搬日数,0.040,0.050,0.063,0.077,0.083,0.100,0.111,0.125,0.143,0.167,0.200,0.250,0.333,0.500,,
