表,作業名,名 称,摘 要,単位,100㎜角,備 考,注
表RA-11-6【設】【専】,内装壁タイル(改良積上げ張り)(1㎡当たり),内装タイル,,枚,102,,
表RA-11-6【設】【専】,内装壁タイル(改良積上げ張り)(1㎡当たり),セメント,,kg,5.8,,
表RA-11-6【設】【専】,内装壁タイル(改良積上げ張り)(1㎡当たり),細骨材,砂,ｍ3,0.019,,
表RA-11-6【設】【専】,内装壁タイル(改良積上げ張り)(1㎡当たり),タイル工,,人,0.25,,
表RA-11-6【設】【専】,内装壁タイル(改良積上げ張り)(1㎡当たり),普通作業員,,人,0.08,,
表RA-11-6【設】【専】,内装壁タイル(改良積上げ張り)(1㎡当たり),その他,,式,1,,
