表,作業名,名 称,摘 要,単位,所要量,備 考,注
別表RA-20-1-3【設】,モルタル(1ｍ3当たり),セメント,,㎏,670.0,,
別表RA-20-1-3【設】,モルタル(1ｍ3当たり),細骨材,砂,ｍ3,1.11,,
別表RA-20-1-3【設】,モルタル(1ｍ3当たり),普通作業員,,人,1.2,,
別表RA-20-1-3【設】,モルタル(1ｍ3当たり),その他,,式,1,,
