表,作業名,名 称,摘 要,単位,所要量,備 考,注
表RA-2-23【専】,埋戻し小規模土工(バックホウ0.13ｍ3)(1ｍ3当たり),バックホウ運転,0.13ｍ3,日,0.033,,１.「その他」の率対象は、普通作業員とする。
表RA-2-23【専】,埋戻し小規模土工(バックホウ0.13ｍ3)(1ｍ3当たり),締固め,タンパ,ｍ3,1.0,締固めによる,１.「その他」の率対象は、普通作業員とする。
表RA-2-23【専】,埋戻し小規模土工(バックホウ0.13ｍ3)(1ｍ3当たり),普通作業員,,人,0.04,,１.「その他」の率対象は、普通作業員とする。
表RA-2-23【専】,埋戻し小規模土工(バックホウ0.13ｍ3)(1ｍ3当たり),その他,,式,1,,１.「その他」の率対象は、普通作業員とする。
