表,作業名,名 称,摘 要,単位,所要量,備 考,注
表RA-7-3【専】,トルシア形高力ボルト締付け（大張間構造）(100本あたり),鉄骨工,,人,0.8,,
表RA-7-3【専】,トルシア形高力ボルト締付け（大張間構造）(100本あたり),締付機器,,日,0.58,,
表RA-7-3【専】,トルシア形高力ボルト締付け（大張間構造）(100本あたり),その他,,式,1,,
