表,作業名,名 称,摘 要,単位,太 物,細 物,備 考,注
表RA-4-4【専】,梁貫通孔補強鉄筋現場加工	(1t当たり),鉄筋工,,人,2.23,2.7,,
表RA-4-4【専】,梁貫通孔補強鉄筋現場加工	(1t当たり),普通作業員,,人,0.2,0.25,,
表RA-4-4【専】,梁貫通孔補強鉄筋現場加工	(1t当たり),その他,,式,1,1,,
