表,作業名,名 称,摘 要,単位,壁(大理石)厚20-900×900mm,備 考,注
表RA-10-2【設】【専】,内壁空積工法(1㎡当たり),石材,,㎡,1.0,,
表RA-10-2【設】【専】,内壁空積工法(1㎡当たり),セメント,,kg,5.0,,
表RA-10-2【設】【専】,内壁空積工法(1㎡当たり),砂,,ｍ3,0.012,白色系の大理石の場合は、寒水石粒とする,
表RA-10-2【設】【専】,内壁空積工法(1㎡当たり),鉄筋,Ｄ10,kg,2.2,,
表RA-10-2【設】【専】,内壁空積工法(1㎡当たり),引き金物,ステンレス製3.2mm,kg,0.02,,
表RA-10-2【設】【専】,内壁空積工法(1㎡当たり),発泡スチロール,厚50㎜,㎡,0.08,,
表RA-10-2【設】【専】,内壁空積工法(1㎡当たり),石工,,人,0.33,,
表RA-10-2【設】【専】,内壁空積工法(1㎡当たり),普通作業員,,人,0.3,,
表RA-10-2【設】【専】,内壁空積工法(1㎡当たり),その他,,式,1,,
