表,作業名,名 称,摘 要,単位,床厚30-500×500mm,壁厚30-900×900mm,備 考,注
表RA-10-4【設】【専】,テラゾブロック張り(1㎡当たり),床テラゾブロック,,㎡,1.0,―,,
表RA-10-4【設】【専】,テラゾブロック張り(1㎡当たり),壁テラゾブロック,,㎡,―,1.0,,
表RA-10-4【設】【専】,テラゾブロック張り(1㎡当たり),セメント,,kg,15.6,25.4,,
表RA-10-4【設】【専】,テラゾブロック張り(1㎡当たり),砂,,ｍ3,0.039,0.063,,
表RA-10-4【設】【専】,テラゾブロック張り(1㎡当たり),鉄筋,Ｄ10,kg,―,2.2,,
表RA-10-4【設】【専】,テラゾブロック張り(1㎡当たり),引き金物,ステンレス製3.2mm,kg,―,0.1,,
表RA-10-4【設】【専】,テラゾブロック張り(1㎡当たり),石工,,人,0.2,0.25,,
表RA-10-4【設】【専】,テラゾブロック張り(1㎡当たり),普通作業員,,人,0.18,0.23,,
表RA-10-4【設】【専】,テラゾブロック張り(1㎡当たり),その他,,式,1,1,,
