表,作業名, 名 称,摘 要,単位,一般(太物),一般(細物),備 考,注
表RA-4-1【市】,鉄筋工場加工(1t当たり),鉄筋工,,人,0.26,0.73,,
表RA-4-1【市】,鉄筋工場加工(1t当たり),普通作業員,,人,0.06,0.18,,
表RA-4-1【市】,鉄筋工場加工(1t当たり),工場管理費,(労)×(３０～６０％),式,1,1,,
表RA-4-1【市】,鉄筋工場加工(1t当たり),その他,,式,1,1,,
