0.0410.0440.0480.0500.053,0.0680.0730.0780.0850.089,備考,注
0.060,0.099,,
0.064,0.111,,
0.070,0.121,,
0.0950.1120.1280.182,0.1510.1720.1910.256,,
0.2320.286,0.3050.348,,
