1.5313－7,7,1.6,0.055,－,－.1,0.46,－.2,備考,注
1.485－4,3,1.6,0.021,0.9,－,0.81,－,,
1.433－4,3,1.5,0.012,－,1.4,－,1.16,,
1.43－34,3,1.5,0.012,－,1.4,－,1.16,,
