Unnamed:0,材料,材料.1,材料.2,材料.3,材料.4,"雑運保
温
材搬
工
料費
［人］",注
"呼単
び
位
径","ロックウール保温筒
［ｍ］","ロックウール保温筒
［ｍ］","ポリエチレ［ｍン］フィルム	溶融カアラルーミ亜ニ鉛ウ鉄ム-板亜又鉛は鉄板
［ｍ］	［ｍ２］","ポリエチレ［ｍン］フィルム	溶融カアラルーミ亜ニ鉛ウ鉄ム-板亜又鉛は鉄板
［ｍ］	［ｍ２］","ポリエチレ［ｍン］フィルム	溶融カアラルーミ亜ニ鉛ウ鉄ム-板亜又鉛は鉄板
［ｍ］	［ｍ２］","雑運保
温
材搬
工
料費
［人］",
"呼単
び
位
径",20厚30厚,40厚,100幅,125幅,150幅200幅250幅0.27mm0.35mm,"雑運保
温
材搬
工
料費
［人］",
