名称,摘要,単位,"片開き
幅高さmm
900×2,100","両開き
幅高さmm
1,800×2,100","引違い
幅高さmm
1,800×2,100","防火戸(小扉付き)
幅高さmm
2,000×2,400",備,考,注
サッシ工,,人,0.25,0.24,0.24,0.32,,,
普通作業員,,人,0.04,0.04,0.04,0.06,,,
その他,,式,1,1,1,1,,,
