名称,摘要,単位,ガスケット,シーリング,備,考,注
シーリング,SR-1,L,―,0.038,,,
バックアップ材,シーリングの30％,式,―,1,,,
ガラス工,,人,0.011,0.044,,,
その他,,式,1,1,,,
