名称,摘要,単位,"引違い
幅高さmm
1,600×1,500","上げ下げ
幅高さmm
1,600×1,500","すべり出し
幅高さmm
1,600×1,500","固定
幅高さmm
1,600×1,500","回転
幅高さmm
1,600×1,500",備考,注
サッシ工,,人,0.15,0.19,0.29,0.16,0.18,,
普通作業員,,人,0.03,0.04,0.06,0.03,0.03,,
その他,,式,1,1,1,1,1,,
