0.0480.0520.0550.0640.069,0.0720.0750.0820.1010.105,備考,注
0.075,0.114,,
0.083,0.143,,
0.091,0.153,,
0.1220.1380.1610.220,0.1740.1960.2160.265,,
0.2730.341,0.3050.348,,
