ダ,クト,工,備考,注
亜鉛,カラー溶融アルミ,ステン,,
,亜鉛ニウム-,レス,,
鉄板,鉄板亜鉛鉄板,鋼板,,
0.4mm,0.35mm0.35mm,0.3mm,,
［人］,［人］［人］,［人］,,
