名称,摘要,単位,所要量,備,考,注
合成樹脂ｴﾏﾙｼｮﾝシーラー,JISK5663,kg,0.07,,,
"つや有合成樹脂
エマルションペイント",JISK5660,kg,0.2,,,
合成樹脂エマルションパテ,"JISK5669
(耐水形)(薄付け用)",kg,0.03,,,
研磨紙,P120～220,枚,0.07,,,
塗装工,,人,0.044,,,
その他,,式,1,,,
