名称,摘要,単位,突付け,目透かし,継目処理,下地張り,"化粧
ボード",備,考,注
せっこうボード,,㎡,1.05,1.05,1.05,1.05,─,,,
化粧せっこうボード,,㎡,─,─,─,─,1.05,,,
ジョイントテープ,,ｍ,─,─,0.87,─,─,,,
ジョイントコンパウンド,,kg,─,─,0.3,─,─,,,
くぎ,ボードくぎ,kg,0.025,0.025,0.025,0.025,0.04,,,
内装工,,人,0.05,0.055,0.072,0.04,0.055,,,
その他,,式,1,1,1,1,1,,,
