料,料.1,料.2,雑,運,保,ダ,そ,注
ポリエチレンフィルム,ポリエチレンフィルム,"ステンレス
鋼板",,,温,ク,,
,［ｍ］,［ｍ２］,材,搬,,ト,の,
,,,,,工,工,,
125幅,150幅200幅250幅,0.2mm,料,費,,,他,
,,,,,［人］,［人］,,
