名称,摘要,単位,ビニル幅木,ビニル幅木.1,備考,注
名称,摘要,単位,一般,階段ささら,備考,
ビ	ニ	ル	幅	木ビ	ニ	ル	幅	木接	着	剤内	装	工そ	の	他,階段ささら用ビニル系床材用,ｍｍkg人式,1.05─0.020.0151,─0.540.040.061,,
