運搬距離,0.3,0.5,1.0,1.5,2.0,3.0,4.0,5.5,6.5,7.5,9.5,11.5,15.5,22.5,49.5,60.0,Unnamed:17,備考,注
(km),以下,以下,以下,以下,以下,以下,以下,以下,以下,以下,以下,以下,以下,以下,以下,以下,,,
運搬日数,0.6,0.7,0.8,0.9,1.0,1.2,1.4,1.7,2.0,2.3,2.6,3.0,3.6,4.5,6.1,9.1,,,
ＤＩＤ区間：有り,ＤＩＤ区間：有り,ＤＩＤ区間：有り,ＤＩＤ区間：有り,ＤＩＤ区間：有り,ＤＩＤ区間：有り,ＤＩＤ区間：有り,ＤＩＤ区間：有り,ＤＩＤ区間：有り,ＤＩＤ区間：有り,ＤＩＤ区間：有り,ＤＩＤ区間：有り,ＤＩＤ区間：有り,ＤＩＤ区間：有り,ＤＩＤ区間：有り,ＤＩＤ区間：有り,ＤＩＤ区間：有り,ＤＩＤ区間：有り,,
運搬距離,0.3,0.5,1.0,1.5,2.0,3.0,3.5,5.0,6.0,7.0,8.5,11.0,14.0,19.5,31.5,60.0,,,
(km),以下,以下,以下,以下,以下,以下,以下,以下,以下,以下,以下,以下,以下,以下,以下,以下,,,
運搬日数,0.6,0.7,0.8,0.9,1.0,1.2,1.4,1.7,2.0,2.3,2.6,3.0,3.6,4.5,6.1,9.1,,,
