材料,注
"アルミガラスクロスアクルロスミガ粘ラ着ス
化粧保温筒	クロテスー粘プ着
［ｍ］テ［ーｍ］プ",
20厚30厚40厚60幅100幅,
1.05－－1.4－,
"1.05－－1.4	－
1.05－－1.5	－",
－1.05－1.8－,
－1.05－1.8－,
－1.05－1.9－,
－－1.052.1－,
－－1.052.2－,
－－1.052.3－,
－－1.052.5－,
－－1.052.6－,
－－1.05－2.8,
－－1.05－3.1,
－－1.05－3.4,
