名称,摘要,単位,"厚6mm
特寸2.18㎡以下","厚6mm
特寸4.45㎡以下","厚8mm
特寸2.18㎡以下","厚8mm
特寸4.45㎡以下",備考,注
熱線反射ガラス,,㎡,1.03,1.03,1.03,1.03,,
ガラス工,,人,0.09,0.14,0.13,0.19,,
その他,,式,1,1,1,1,,
