作業名,名称,摘要,単位,所要量,備考
【標仕仕様】オイルステイン塗り(ＯＳ) (1㎡当たり),オイルステイン,,kg,0.06,
【標仕仕様】オイルステイン塗り(ＯＳ) (1㎡当たり),塗 装 工,,人,0.052,
【標仕仕様】オイルステイン塗り(ＯＳ) (1㎡当たり),そ の 他,,式,1,
