作業名,細目,摘要,単位,材料,雑材料,"電工
［人］",その他,備考
蛍光灯器具(ウ),細　目,摘　要,単位,"蛍光灯器具
［個］",雑材料,"電工
［人］",その他,備考
蛍光灯器具(ウ),,ＦＬ 10Ｗ×1,,1,,0.139,,
蛍光灯器具(ウ),,ＦＬ　20Ｗ×1,,1,,0.157,,
蛍光灯器具(ウ),,ＦＬ　30Ｗ×1,個,1,,0.165,,
蛍光灯器具(ウ),,ＦＬ　40Ｗ×1,,1,,0.252,,
蛍光灯器具(ウ),,ＦＬ 110Ｗ×1,,1,,0.470,,
蛍光灯器具(ウ),,ＦＬ 10Ｗ×2,,1,,0.165,,
蛍光灯器具(ウ),,ＦＬ　20Ｗ×2,,1,１式,0.200,,
蛍光灯器具(ウ),,ＦＬ　30Ｗ×2,個,1,"材
料
価
格",0.217,,
蛍光灯器具(ウ),,ＦＬ 40Ｗ×2,,1,"材
料
価
格",0.313,,
蛍光灯器具(ウ),,ＦＬ 110Ｗ×2,,1,"材
料
価
格",0.574,,
蛍光灯器具(ウ),,ＦＬ 10Ｗ×3,,1,"材
料
価
格",0.209,,
蛍光灯器具(ウ),,ＦＬ　20Ｗ×3,個,1,×,0.252,,
蛍光灯器具(ウ),,ＦＬ 40Ｗ×3,個,1,0.05,0.409,,
蛍光灯器具(ウ),蛍光灯器具(つり下げ形),ＦＬ 110Ｗ×3,,1,,0.730,１式,
蛍光灯器具(ウ),,ＦＬ　20Ｗ×4,,1,,0.365,,
蛍光灯器具(ウ),,ＦＬ 40Ｗ×4,個,1,,0.530,,
蛍光灯器具(ウ),,ＦＬ 110Ｗ×4,,1,,1.04,,
蛍光灯器具(ウ),,ＦＬ　20Ｗ×5,,1,,0.365,,
蛍光灯器具(ウ),,ＦＬ 40Ｗ×5,個,1,,0.530,,
蛍光灯器具(ウ),,ＦＬ 110Ｗ×5,,1,,1.04,,
蛍光灯器具(ウ),,ＦＬ　20Ｗ×6,,1,,0.365,,
蛍光灯器具(ウ),,ＦＬ 40Ｗ×6,個,1,,0.530,,
蛍光灯器具(ウ),,ＦＬ 110Ｗ×6,,1,,1.04,,
蛍光灯器具(ウ),,ＦＨＦ 16Ｗ×1,個,1,,0.141,,
蛍光灯器具(ウ),,ＦＨＦ 32Ｗ×1,個,1,,0.214,,
蛍光灯器具(ウ),,ＦＨＦ 16Ｗ×2,個,1,,0.180,,
蛍光灯器具(ウ),,ＦＨＦ 32Ｗ×2,個,1,,0.266,,
