作業名,名称,摘要,単位,"厚8mm
特寸2.0㎡以下","厚8mm
特寸4.0㎡以下",備考
強化ガラス(厚8mm) (1㎡当たり),強化ガラス,,㎡,1.0,1.0,
強化ガラス(厚8mm) (1㎡当たり),ガ ラ ス 工,,人,0.13,0.19,
強化ガラス(厚8mm) (1㎡当たり),そ の 他,,式,1,1,
