作業名,名称,摘要,単位,所要量,備考
,ﾍﾞｰｽﾏｼﾝ運転,ﾊﾞｯｸﾎｳ0.8ｍ3,日,0.0345,
,ｺﾝｸﾘｰﾄ圧砕機,圧砕力549～981kN,日,0.0345,
,普 通 作 業 員,,人,0.0345,
,そ の 他,,式,1,
