作業名,料,料,料,雑,運,保,ダ,そ
ブライン管(7/7),ポリエチレンフィルム,ポリエチレンフィルム,"ステンレス
鋼板",,,温,ク,
ブライン管(7/7),,［ｍ］,［ｍ２］,材,搬,,ト,の
ブライン管(7/7),,,,,,工,工,
ブライン管(7/7),125幅,150幅 200幅 250幅,0.2mm,料,費,,,他
ブライン管(7/7),,,,,,［人］,［人］,
