作業名,掘削機械,最大掘削深さ,備考
ヘ.バックホウの最大掘削深さは次表を標準とする。,バックホウ1.4ｍ3,6ｍ,
ヘ.バックホウの最大掘削深さは次表を標準とする。,バックホウ0.8ｍ3,5ｍ,
ヘ.バックホウの最大掘削深さは次表を標準とする。,バックホウ0.45ｍ3,4ｍ,
ヘ.バックホウの最大掘削深さは次表を標準とする。,バックホウ0.28ｍ3,3ｍ,
ヘ.バックホウの最大掘削深さは次表を標準とする。,バックホウ0.13ｍ3,2ｍ,
