作業名,名称,摘要,単位,"厚6.8mm
特寸2.18㎡以下","厚6.8mm
特寸4.45㎡以下",備考
網入磨き板ガラス (1㎡当たり),網入磨き板ガラス,,㎡,1.03,1.03,
網入磨き板ガラス (1㎡当たり),ガ ラ ス 工,,人,0.13,0.19,
網入磨き板ガラス (1㎡当たり),そ の 他,,式,1,1,
