作業名,細目,摘要,単位,材料,雑材料,"電
工
［人］","普
通
作
業
員
［人］","そ

の

他",備考
建柱(イ)(人力),細　目,摘要,単位,"木柱
［本］",雑材料,"電
工
［人］","普
通
作
業
員
［人］","そ
　
の
　
他",備　考
建柱(イ)(人力),,6ｍ,,1,,0.461,0.252,,
建柱(イ)(人力),,7ｍ,,1,"１式
(材料価格×0.02)",0.565,0.296,,
建柱(イ)(人力),木柱,8ｍ,本,1,"１式
(材料価格×0.02)",0.696,0.339,１式,
建柱(イ)(人力),,9ｍ,,1,"１式
(材料価格×0.02)",0.809,0.426,,
建柱(イ)(人力),,10ｍ,,1,,1.05,0.539,,
