作業名,Unnamed:1,Unnamed:2,Unnamed:3,１５０角,３００角,４５０角,６５０角,９００角,１３００角,３００×,３００×.1,３００×.2,Unnamed:13
天井ボード切込み (1か所当たり),名 称,摘 要,単位,１５０φ,３００φ,４５０φ,６５０φ,９００φ,１３００φ,１３００,２５００,３７００,備考
天井ボード切込み (1か所当たり),,,,以下,以下,以下,以下,以下,以下,以下,以下,以下,
天井ボード切込み (1か所当たり),内装工,,人,0.013,0.015,0.019,0.023,0.028,0.036,0.026,0.038,0.05,
天井ボード切込み (1か所当たり),その他,,式,1,1,1,1,1,1,1,1,1,
