作業名,"0.076
0.079
0.083
0.102","0.090
0.094
0.100
0.123"
1式,0.110,0.127
1式,0.120,0.137
1式,0.135,0.149
1式,0.148,0.159
1式,"0.180
0.216
0.249
0.286
0.385
0.445","0.181
0.203
0.223
0.263
0.319
0.362"
