作業名,Unnamed:1,名,称,称.1,摘,要,単位,一,般,備,考
鉄筋現場加工 (1t当たり),,名,称,称,摘,要,単位,太 物,細 物,備,考
鉄筋現場加工 (1t当たり),鉄,,筋,工,,,人,0.32,0.92,,
鉄筋現場加工 (1t当たり),普,通,作業,員,,,人,0.06,0.18,,
鉄筋現場加工 (1t当たり),そ,,の,他,,,式,1,1,,
