作業名,"ロックウール保温筒
［ｍ］","ロックウール保温筒
［ｍ］.1","ポリエチレ［ｍン］フィルム	合(成ジャ樹ケ脂ッ製トタカイバプー)２
［ｍ］［ｍ］","ポリエチレ［ｍン］フィルム	合(成ジャ樹ケ脂ッ製トタカイバプー)２
［ｍ］［ｍ］.1","ポリエチレ［ｍン］フィルム	合(成ジャ樹ケ脂ッ製トタカイバプー)２
［ｍ］［ｍ］.2","雑運
材搬
料費"
材料,30厚 40厚,50厚,100幅 125幅,150幅 200幅,250幅 30厚用 40厚用 50厚用,"雑運
材搬
料費"
