作業名,名称,摘要,単位,人力打設,人力打設.1,備考
コンクリート打設手間(小型構造物)	(1ｍ3当たり),名 称,摘 要,単位,工作物の基礎等,"擁壁,囲障の基礎等",備 考
コンクリート打設手間(小型構造物)	(1ｍ3当たり),"特殊作業員
そ の 他",,"人
式","0.65
1","0.43
1",
