作業名,名称,摘要,単位,所要量,備考
根切り 山留め付き総掘り グランドアンカー方式(バックホウ0.8ｍ3)	(1ｍ3当たり),バックホウ運転,0.8ｍ3,日,0.0063,
根切り 山留め付き総掘り グランドアンカー方式(バックホウ0.8ｍ3)	(1ｍ3当たり),普通作業員,,人,0.007,
根切り 山留め付き総掘り グランドアンカー方式(バックホウ0.8ｍ3)	(1ｍ3当たり),そ の 他,,式,1,
