作業名,細目,摘要,単位,材料,雑材料,"電工
［人］",その他,備考
蛍光灯器具(イ),細　目,摘　要,単位,"蛍光灯器具
［個］",雑材料,"電工
［人］",その他,備考
蛍光灯器具(イ),,ＦＬ 10Ｗ×1,,1,,0.174,,
蛍光灯器具(イ),,ＦＬ　20Ｗ×1,,1,,0.200,,
蛍光灯器具(イ),,ＦＬ　30Ｗ×1,個,1,,0.209,,
蛍光灯器具(イ),,ＦＬ　40Ｗ×1,,1,,0.313,,
蛍光灯器具(イ),,ＦＬ 110Ｗ×1,,1,,0.591,,
蛍光灯器具(イ),,ＦＬ 10Ｗ×2,,1,,0.209,,
蛍光灯器具(イ),,ＦＬ　20Ｗ×2,,1,１式,0.252,,
蛍光灯器具(イ),,ＦＬ　30Ｗ×2,個,1,"材
料
価
格",0.278,,
蛍光灯器具(イ),,ＦＬ 40Ｗ×2,,1,"材
料
価
格",0.391,,
蛍光灯器具(イ),,ＦＬ 110Ｗ×2,,1,"材
料
価
格",0.722,,
蛍光灯器具(イ),,ＦＬ 10Ｗ×3,,1,"材
料
価
格",0.261,,
蛍光灯器具(イ),蛍光灯器具(埋込形),ＦＬ　20Ｗ×3,個,1,×,0.313,１式,
蛍光灯器具(イ),,ＦＬ 40Ｗ×3,個,1,0.05,0.513,,
蛍光灯器具(イ),,ＦＬ 110Ｗ×3,,1,,0.913,,
蛍光灯器具(イ),,ＦＬ　20Ｗ×4,,1,,0.461,,
蛍光灯器具(イ),,ＦＬ 40Ｗ×4,個,1,,0.670,,
蛍光灯器具(イ),,ＦＬ 110Ｗ×4,,1,,1.30,,
蛍光灯器具(イ),,ＦＬ　20Ｗ×5,,1,,0.461,,
蛍光灯器具(イ),,ＦＬ 40Ｗ×5,個,1,,0.670,,
蛍光灯器具(イ),,ＦＬ 110Ｗ×5,,1,,1.30,,
蛍光灯器具(イ),,ＦＬ　20Ｗ×6,,1,,0.461,,
蛍光灯器具(イ),,ＦＬ 40Ｗ×6,個,1,,0.670,,
蛍光灯器具(イ),,ＦＬ 110Ｗ×6,,1,,1.30,,
