作業名,0.060,0.115
1式,"0.064
0.068
0.078
0.084","0.121
0.129
0.159
0.165"
1式,0.091,0.178
1式,"0.098
0.108
0.141","0.195
0.208
0.237"
1式,0.161,0.267
1式,0.186,0.294
