作業名,摘要,摘要.1,Unnamed:3,材,Unnamed:5,料
蒸気管(7/9),保施,呼単,グラスウール保温筒,グラスウール保温筒,ポリエチレンフィルム,ポリエチレンフィルム
蒸気管(7/9),温工,,［ｍ］,,［ｍ］,
蒸気管(7/9),,び,,,,
蒸気管(7/9),材箇,位,,,,
蒸気管(7/9),質所,径,20厚 30厚,40厚 100幅,125幅 150幅,200幅 250幅
