作業名,名称,摘要,単位,"笠木
糸幅=160mm","膳板
糸幅=150mm","柱コーナー
加算","梁コーナー
加算",備考
内部役物モルタル塗り (1ｍ当たり),セメント,,kg,2.1,2.0,─,─,
内部役物モルタル塗り (1ｍ当たり),細 骨 材,砂,ｍ3,0.005,0.005,─,─,
内部役物モルタル塗り (1ｍ当たり),左 官,,人,0.08,0.07,0.015,0.02,
内部役物モルタル塗り (1ｍ当たり),普通作業員,,人,0.005,0.005,─,─,
内部役物モルタル塗り (1ｍ当たり),そ の 他,,式,1,1,1,1,
