作業名,"－
－
－
－
－","5.0
5.4
5.9
－
－","－
－
－
6.4
6.8"
1,－,－,7.5
1,1.05,－,9.5
1,1.05,－,－
1,"1.05
1.05
1.05
1.05","－
－
－
－","－
－
－
－"
1,"1.05
1.05","－
－","－
－"
