作業名,"電

工
［人］"
0,0.20
0,0.25
0,0.30
0,0.40
0,0.45
0,0.50
0,0.55
0,0.65
0,0.70
0,0.75
0,0.80
0,0.85
0,0.95
0,1.00
0,1.05
0,1.10
0,1.15
0,1.25
0,1.35
0,1.45
0,0.1
