作業名,"0.048
0.052
0.055
0.064
0.069","0.072
0.075
0.082
0.101
0.105"
1式,0.075,0.114
1式,0.083,0.143
1式,0.091,0.153
1式,"0.122
0.138
0.161
0.220","0.174
0.196
0.216
0.265"
1式,"0.273
0.341","0.305
0.348"
