作業名,"20
25"
.03 30. .03 － － － － － － － － － － － 111,32
.03 30. .03 － － － － － － － － － － － 111,40
.03 30. .03 － － － － － － － － － － － 111,50
.03 30. .03 － － － － － － － － － － － 111,"65
80"
.03 30. .03 － － － － － － － － － － － 111,100
.03 30. .03 － － － － － － － － － － － 111,125
