作業名,名称,摘要,単位,"厚25
900×75mm",備考
幅木テラゾブロック張り (1ｍ当たり),テラゾブロック,,ｍ,1.0,
幅木テラゾブロック張り (1ｍ当たり),セメント,,kg,0.45,
幅木テラゾブロック張り (1ｍ当たり),砂,,ｍ3,0.001,
幅木テラゾブロック張り (1ｍ当たり),石工,,人,0.08,
幅木テラゾブロック張り (1ｍ当たり),普通作業員,,人,0.05,
幅木テラゾブロック張り (1ｍ当たり),その他,,式,1,
