作業名,名称,摘要,単位,所要量,備考
トルシア形高力ボルト締付け(大張間構造) (100本当たり),鉄 骨 工,,人,0.8,
トルシア形高力ボルト締付け(大張間構造) (100本当たり),締 付 機 器,,日,0.58,
トルシア形高力ボルト締付け(大張間構造) (100本当たり),そ の 他,,式,1,
