作業名,"保
温
工
［人］"
0.03,0.034
0.03,"0.035
0.036"
0.03,0.045
0.03,0.050
0.03,0.054
0.03,0.078
0.03,0.084
0.03,0.105
0.03,0.121
0.03,0.146
0.03,0.168
0.03,0.193
0.03,0.223
