作業名,"－
－","6.9－
7.4－","－－
－－"
1,"－
－","－ 7.6
－ 8.0","－－
－－"
1,"－
－","－ 8.7
－ 9.5","－－
－－"
1,"－
－","－－
－－","8.6 －
9.8 －"
1,"－
－
－
1.05","－－
－－
－－
－－","11.0 －
12.2 －
－ 11.0
－ 13.6"
