作業名,名,称,摘要,単位,ＢⅠ－１,ＢⅠ－２,備,考
,名,称,摘 要,単位,平 面,平 面,備,考
,アスファルトプライマー,アスファルトプライマー,,㎏,0.2,0.2,,
,アスファルト,アスファルト,3種,㎏,6.2,5.2,,
,アスファルトルーフィング,アスファルトルーフィング,1500,㎡,2.28,1.14,,
,砂付あなあきルーフィング,砂付あなあきルーフィング,,㎡,1.04,1.04,,
,ストレッチルーフィング,ストレッチルーフィング,1000,㎡,2.28,2.28,,
,フラットヤー,ンクロス,,㎡,1.1,1.1,,
,断熱,材,厚25㎜,㎡,1.04,1.04,,
,燃,料,重油,L,1.9,1.6,,
,防水,工,,人,0.11,0.096,,
,普通作,業員,,人,0.039,0.034,,
,その,他,,式,1,1,,
