作業名,床の石張り,床の石張り.1,Unnamed:3,Unnamed:4,Unnamed:5,(1㎡当たり),(1㎡当たり).1
表 RA -10- 3 【設】【専】,,,,床(花こう岩),床(花こう岩),床(大理石),
表 RA -10- 3 【設】【専】,名 称,摘 要,単位,ひき石厚30,割石厚100,石厚20,備 考
表 RA -10- 3 【設】【専】,,,,600×600mm,900×450mm,500×500mm,
表 RA -10- 3 【設】【専】,石 材,,㎡,1.0,1.0,1.0,
表 RA -10- 3 【設】【専】,セ メ ン ト,,kg,15.5,20.0,15.4,
表 RA -10- 3 【設】【専】,砂,,ｍ3,0.039,0.08,0.039,
表 RA -10- 3 【設】【専】,石 工,,人,0.25,0.3,0.25,
表 RA -10- 3 【設】【専】,普 通 作 業 員,,人,0.23,0.27,0.23,
表 RA -10- 3 【設】【専】,そ の 他,,式,1,1,1,
