作業名,名称,摘要,単位,突付け,目透かし,継目処理,下地張り,"化粧
ボード",備考
天井せっこうボード張り (1㎡当たり),せっこうボード,,㎡,1.05,1.05,1.05,1.05,─,
天井せっこうボード張り (1㎡当たり),化粧せっこうボード,,㎡,─,─,─,─,1.05,
天井せっこうボード張り (1㎡当たり),ジョイントテープ,,ｍ,─,─,0.87,─,─,
天井せっこうボード張り (1㎡当たり),ジョイントコンパウンド,,kg,─,─,0.3,─,─,
天井せっこうボード張り (1㎡当たり),く ぎ,ボードくぎ,kg,0.025,0.025,0.025,0.025,0.04,
天井せっこうボード張り (1㎡当たり),内 装 工,,人,0.05,0.055,0.072,0.04,0.055,
天井せっこうボード張り (1㎡当たり),そ の 他,,式,1,1,1,1,1,
