作業名,"保
温
工
［人］","ダ
ク
ト
工
［人］"
0.03,0.073,0.085
0.03,0.076,0.089
0.03,0.080,0.095
0.03,0.098,0.117
0.03,0.106,0.121
0.03,0.116,0.131
0.03,0.131,0.143
0.03,0.144,0.153
0.03,0.175,0.174
0.03,0.211,0.196
0.03,0.244,0.216
0.03,0.281,0.256
0.03,0.380,0.312
0.03,0.440,0.355
