作業名,"0.076
0.079
0.083
0.102","0.120
0.126
0.134
0.165"
1式,0.110,0.171
1式,0.120,0.184
1式,0.135,0.201
1式,0.148,0.214
1式,"0.180
0.216
0.249
0.286
0.385
0.445","0.244
0.274
0.301
0.356
0.433
0.491"
