作業名,"グラスウール保温筒
［ｍ］","グラスウール保温筒
［ｍ］","ポリエチレンフィルム
［ｍ］","ポリエチレンフィルム
［ｍ］","ポリエチレンフィルム
［ｍ］","カラー亜鉛鉄板又は
溶融アルミニウム-亜鉛鉄板
［ｍ２］"
材料,30厚 40厚,50厚,100幅,125幅 150幅,200幅 250幅,0.27mm 0.35mm
