作業名,名称,摘要,単位,"二重皿板
幅
100mm内外","膳板・額縁
幅
60mm内外",アングル,"方立
高さ
1,500mm内外",備考
,サッシ工,,人,0.03,0.05,0.02,0.08,
,普通作業員,,人,―,―,―,0.02,
,そ の 他,,式,1,1,1,1,
